,CompanyId,ColumnName,ColumnValue,Count
0,int:a055470,BankEntryDate1,2016-02-05,1
1,int:a055470,BankEntryDate1,2016-02-08,12
2,int:a055470,BankEntryDate1,2016-02-09,13
3,int:a055470,BankEntryDate1,2016-02-10,9
4,int:a055470,BankEntryDate1,2016-02-11,6
5,int:a055470,BankEntryDate1,2016-02-15,5
6,int:a055470,BankEntryDate1,2016-02-16,7
7,int:a055470,BankEntryDate1,2016-02-17,4
8,int:a055470,BankEntryDate1,2016-02-18,7
9,int:a055470,BankEntryDate1,2016-02-19,9
10,int:a055470,BankEntryDate1,2016-02-22,5
11,int:a055470,BankEntryDate1,2016-02-23,5
12,int:a055470,BankEntryDate1,2016-02-24,4
13,int:a055470,BankEntryDate1,2016-02-25,5
14,int:a055470,BankEntryDate1,2016-02-26,1
15,int:a055470,BankEntryDate1,2016-02-29,7
16,int:a055470,BankEntryDate2,2016-02-05,1
17,int:a055470,BankEntryDate2,2016-02-08,12
18,int:a055470,BankEntryDate2,2016-02-09,13
19,int:a055470,BankEntryDate2,2016-02-10,9
20,int:a055470,BankEntryDate2,2016-02-11,6
21,int:a055470,BankEntryDate2,2016-02-15,5
22,int:a055470,BankEntryDate2,2016-02-16,7
23,int:a055470,BankEntryDate2,2016-02-17,4
24,int:a055470,BankEntryDate2,2016-02-18,7
25,int:a055470,BankEntryDate2,2016-02-19,9
26,int:a055470,BankEntryDate2,2016-02-22,5
27,int:a055470,BankEntryDate2,2016-02-23,5
28,int:a055470,BankEntryDate2,2016-02-24,4
29,int:a055470,BankEntryDate2,2016-02-25,5
30,int:a055470,BankEntryDate2,2016-02-26,1
31,int:a055470,BankEntryDate2,2016-02-29,7
32,int:a055470,BankEntryDate3,2016-02-05,1
33,int:a055470,BankEntryDate3,2016-02-08,12
34,int:a055470,BankEntryDate3,2016-02-09,13
35,int:a055470,BankEntryDate3,2016-02-10,9
36,int:a055470,BankEntryDate3,2016-02-11,6
37,int:a055470,BankEntryDate3,2016-02-15,5
38,int:a055470,BankEntryDate3,2016-02-16,7
39,int:a055470,BankEntryDate3,2016-02-17,4
40,int:a055470,BankEntryDate3,2016-02-18,7
41,int:a055470,BankEntryDate3,2016-02-19,9
42,int:a055470,BankEntryDate3,2016-02-22,5
43,int:a055470,BankEntryDate3,2016-02-23,5
44,int:a055470,BankEntryDate3,2016-02-24,4
45,int:a055470,BankEntryDate3,2016-02-25,5
46,int:a055470,BankEntryDate3,2016-02-26,1
47,int:a055470,BankEntryDate3,2016-02-29,7
48,int:a055470,BankEntryDate4,2016-02-05,1
49,int:a055470,BankEntryDate4,2016-02-08,12
50,int:a055470,BankEntryDate4,2016-02-09,13
51,int:a055470,BankEntryDate4,2016-02-10,9
52,int:a055470,BankEntryDate4,2016-02-11,6
53,int:a055470,BankEntryDate4,2016-02-15,5
54,int:a055470,BankEntryDate4,2016-02-16,7
55,int:a055470,BankEntryDate4,2016-02-17,4
56,int:a055470,BankEntryDate4,2016-02-18,7
57,int:a055470,BankEntryDate4,2016-02-19,9
58,int:a055470,BankEntryDate4,2016-02-22,5
59,int:a055470,BankEntryDate4,2016-02-23,5
60,int:a055470,BankEntryDate4,2016-02-24,4
61,int:a055470,BankEntryDate4,2016-02-25,5
62,int:a055470,BankEntryDate4,2016-02-26,1
63,int:a055470,BankEntryDate4,2016-02-29,7
64,int:a055470,BankEntryDate5,2016-02-05,1
65,int:a055470,BankEntryDate5,2016-02-08,12
66,int:a055470,BankEntryDate5,2016-02-09,13
67,int:a055470,BankEntryDate5,2016-02-10,9
68,int:a055470,BankEntryDate5,2016-02-11,6
69,int:a055470,BankEntryDate5,2016-02-15,5
70,int:a055470,BankEntryDate5,2016-02-16,7
71,int:a055470,BankEntryDate5,2016-02-17,4
72,int:a055470,BankEntryDate5,2016-02-18,7
73,int:a055470,BankEntryDate5,2016-02-19,9
74,int:a055470,BankEntryDate5,2016-02-22,5
75,int:a055470,BankEntryDate5,2016-02-23,5
76,int:a055470,BankEntryDate5,2016-02-24,4
77,int:a055470,BankEntryDate5,2016-02-25,5
78,int:a055470,BankEntryDate5,2016-02-26,1
79,int:a055470,BankEntryDate5,2016-02-29,7
80,int:a055470,BankEntryDate6,2016-02-05,1
81,int:a055470,BankEntryDate6,2016-02-08,12
82,int:a055470,BankEntryDate6,2016-02-09,13
83,int:a055470,BankEntryDate6,2016-02-10,9
84,int:a055470,BankEntryDate6,2016-02-11,6
85,int:a055470,BankEntryDate6,2016-02-15,5
86,int:a055470,BankEntryDate6,2016-02-16,7
87,int:a055470,BankEntryDate6,2016-02-17,4
88,int:a055470,BankEntryDate6,2016-02-18,7
89,int:a055470,BankEntryDate6,2016-02-19,9
90,int:a055470,BankEntryDate6,2016-02-22,5
91,int:a055470,BankEntryDate6,2016-02-23,5
92,int:a055470,BankEntryDate6,2016-02-24,4
93,int:a055470,BankEntryDate6,2016-02-25,5
94,int:a055470,BankEntryDate6,2016-02-26,1
95,int:a055470,BankEntryDate6,2016-02-29,7
96,int:a055470,BankEntryDate7,2016-02-05,1
97,int:a055470,BankEntryDate7,2016-02-08,12
98,int:a055470,BankEntryDate7,2016-02-09,13
99,int:a055470,BankEntryDate7,2016-02-10,9
100,int:a055470,BankEntryDate7,2016-02-11,6
101,int:a055470,BankEntryDate7,2016-02-15,5
102,int:a055470,BankEntryDate7,2016-02-16,7
103,int:a055470,BankEntryDate7,2016-02-17,4
104,int:a055470,BankEntryDate7,2016-02-18,7
105,int:a055470,BankEntryDate7,2016-02-19,9
106,int:a055470,BankEntryDate7,2016-02-22,5
107,int:a055470,BankEntryDate7,2016-02-23,5
108,int:a055470,BankEntryDate7,2016-02-24,4
109,int:a055470,BankEntryDate7,2016-02-25,5
110,int:a055470,BankEntryDate7,2016-02-26,1
111,int:a055470,BankEntryDate7,2016-02-29,7
112,int:a055470,BankEntryDate8,2016-02-05,1
113,int:a055470,BankEntryDate8,2016-02-08,12
114,int:a055470,BankEntryDate8,2016-02-09,13
115,int:a055470,BankEntryDate8,2016-02-10,9
116,int:a055470,BankEntryDate8,2016-02-11,6
117,int:a055470,BankEntryDate8,2016-02-15,5
118,int:a055470,BankEntryDate8,2016-02-16,7
119,int:a055470,BankEntryDate8,2016-02-17,4
120,int:a055470,BankEntryDate8,2016-02-18,7
121,int:a055470,BankEntryDate8,2016-02-19,9
122,int:a055470,BankEntryDate8,2016-02-22,5
123,int:a055470,BankEntryDate8,2016-02-23,5
124,int:a055470,BankEntryDate8,2016-02-24,4
125,int:a055470,BankEntryDate8,2016-02-25,5
126,int:a055470,BankEntryDate8,2016-02-26,1
127,int:a055470,BankEntryDate8,2016-02-29,7
128,int:a055470,BankEntryDate9,2016-02-05,1
129,int:a055470,BankEntryDate9,2016-02-08,12
130,int:a055470,BankEntryDate9,2016-02-09,13
131,int:a055470,BankEntryDate9,2016-02-10,9
132,int:a055470,BankEntryDate9,2016-02-11,6
133,int:a055470,BankEntryDate9,2016-02-15,5
134,int:a055470,BankEntryDate9,2016-02-16,7
135,int:a055470,BankEntryDate9,2016-02-17,4
136,int:a055470,BankEntryDate9,2016-02-18,7
137,int:a055470,BankEntryDate9,2016-02-19,9
138,int:a055470,BankEntryDate9,2016-02-22,5
139,int:a055470,BankEntryDate9,2016-02-23,5
140,int:a055470,BankEntryDate9,2016-02-24,4
141,int:a055470,BankEntryDate9,2016-02-25,5
142,int:a055470,BankEntryDate9,2016-02-26,1
143,int:a055470,BankEntryDate9,2016-02-29,7
144,int:a055470,BankEntryDate10,2016-02-05,1
145,int:a055470,BankEntryDate10,2016-02-08,12
146,int:a055470,BankEntryDate10,2016-02-09,13
147,int:a055470,BankEntryDate10,2016-02-10,9
148,int:a055470,BankEntryDate10,2016-02-11,6
149,int:a055470,BankEntryDate10,2016-02-15,5
150,int:a055470,BankEntryDate10,2016-02-16,7
151,int:a055470,BankEntryDate10,2016-02-17,4
152,int:a055470,BankEntryDate10,2016-02-18,7
153,int:a055470,BankEntryDate10,2016-02-19,9
154,int:a055470,BankEntryDate10,2016-02-22,5
155,int:a055470,BankEntryDate10,2016-02-23,5
156,int:a055470,BankEntryDate10,2016-02-24,4
157,int:a055470,BankEntryDate10,2016-02-25,5
158,int:a055470,BankEntryDate10,2016-02-26,1
159,int:a055470,BankEntryDate10,2016-02-29,7
160,int:a055470,BankEntryDate11,2016-02-05,1
161,int:a055470,BankEntryDate11,2016-02-08,12
162,int:a055470,BankEntryDate11,2016-02-09,13
163,int:a055470,BankEntryDate11,2016-02-10,9
164,int:a055470,BankEntryDate11,2016-02-11,6
165,int:a055470,BankEntryDate11,2016-02-15,5
166,int:a055470,BankEntryDate11,2016-02-16,7
167,int:a055470,BankEntryDate11,2016-02-17,4
168,int:a055470,BankEntryDate11,2016-02-18,7
169,int:a055470,BankEntryDate11,2016-02-19,9
170,int:a055470,BankEntryDate11,2016-02-22,5
171,int:a055470,BankEntryDate11,2016-02-23,5
172,int:a055470,BankEntryDate11,2016-02-24,4
173,int:a055470,BankEntryDate11,2016-02-25,5
174,int:a055470,BankEntryDate11,2016-02-26,1
175,int:a055470,BankEntryDate11,2016-02-29,7
176,int:a055470,BankEntryDate12,2016-02-05,1
177,int:a055470,BankEntryDate12,2016-02-08,12
178,int:a055470,BankEntryDate12,2016-02-09,13
179,int:a055470,BankEntryDate12,2016-02-10,9
180,int:a055470,BankEntryDate12,2016-02-11,6
181,int:a055470,BankEntryDate12,2016-02-15,5
182,int:a055470,BankEntryDate12,2016-02-16,7
183,int:a055470,BankEntryDate12,2016-02-17,4
184,int:a055470,BankEntryDate12,2016-02-18,7
185,int:a055470,BankEntryDate12,2016-02-19,9
186,int:a055470,BankEntryDate12,2016-02-22,5
187,int:a055470,BankEntryDate12,2016-02-23,5
188,int:a055470,BankEntryDate12,2016-02-24,4
189,int:a055470,BankEntryDate12,2016-02-25,5
190,int:a055470,BankEntryDate12,2016-02-26,1
191,int:a055470,BankEntryDate12,2016-02-29,7
192,int:a055470,BankEntryDate13,2016-02-05,1
193,int:a055470,BankEntryDate13,2016-02-08,12
194,int:a055470,BankEntryDate13,2016-02-09,13
195,int:a055470,BankEntryDate13,2016-02-10,9
196,int:a055470,BankEntryDate13,2016-02-11,6
197,int:a055470,BankEntryDate13,2016-02-15,5
198,int:a055470,BankEntryDate13,2016-02-16,7
199,int:a055470,BankEntryDate13,2016-02-17,4
200,int:a055470,BankEntryDate13,2016-02-18,7
201,int:a055470,BankEntryDate13,2016-02-19,9
202,int:a055470,BankEntryDate13,2016-02-22,5
203,int:a055470,BankEntryDate13,2016-02-23,5
204,int:a055470,BankEntryDate13,2016-02-24,4
205,int:a055470,BankEntryDate13,2016-02-25,5
206,int:a055470,BankEntryDate13,2016-02-26,1
207,int:a055470,BankEntryDate13,2016-02-29,7
208,int:a055470,BankEntryDate14,2016-02-05,1
209,int:a055470,BankEntryDate14,2016-02-08,12
210,int:a055470,BankEntryDate14,2016-02-09,13
211,int:a055470,BankEntryDate14,2016-02-10,9
212,int:a055470,BankEntryDate14,2016-02-11,6
213,int:a055470,BankEntryDate14,2016-02-15,5
214,int:a055470,BankEntryDate14,2016-02-16,7
215,int:a055470,BankEntryDate14,2016-02-17,4
216,int:a055470,BankEntryDate14,2016-02-18,7
217,int:a055470,BankEntryDate14,2016-02-19,9
218,int:a055470,BankEntryDate14,2016-02-22,5
219,int:a055470,BankEntryDate14,2016-02-23,5
220,int:a055470,BankEntryDate14,2016-02-24,4
221,int:a055470,BankEntryDate14,2016-02-25,5
222,int:a055470,BankEntryDate14,2016-02-26,1
223,int:a055470,BankEntryDate14,2016-02-29,7
224,int:a055470,BankEntryDate15,2016-02-05,1
225,int:a055470,BankEntryDate15,2016-02-08,12
226,int:a055470,BankEntryDate15,2016-02-09,13
227,int:a055470,BankEntryDate15,2016-02-10,9
228,int:a055470,BankEntryDate15,2016-02-11,6
229,int:a055470,BankEntryDate15,2016-02-15,5
230,int:a055470,BankEntryDate15,2016-02-16,7
231,int:a055470,BankEntryDate15,2016-02-17,4
232,int:a055470,BankEntryDate15,2016-02-18,7
233,int:a055470,BankEntryDate15,2016-02-19,9
234,int:a055470,BankEntryDate15,2016-02-22,5
235,int:a055470,BankEntryDate15,2016-02-23,5
236,int:a055470,BankEntryDate15,2016-02-24,4
237,int:a055470,BankEntryDate15,2016-02-25,5
238,int:a055470,BankEntryDate15,2016-02-26,1
239,int:a055470,BankEntryDate15,2016-02-29,7
240,int:a055470,BankEntryDate16,2016-02-05,1
241,int:a055470,BankEntryDate16,2016-02-08,12
242,int:a055470,BankEntryDate16,2016-02-09,13
243,int:a055470,BankEntryDate16,2016-02-10,9
244,int:a055470,BankEntryDate16,2016-02-11,6
245,int:a055470,BankEntryDate16,2016-02-15,5
246,int:a055470,BankEntryDate16,2016-02-16,7
247,int:a055470,BankEntryDate16,2016-02-17,4
248,int:a055470,BankEntryDate16,2016-02-18,7
249,int:a055470,BankEntryDate16,2016-02-19,9
250,int:a055470,BankEntryDate16,2016-02-22,5
251,int:a055470,BankEntryDate16,2016-02-23,5
252,int:a055470,BankEntryDate16,2016-02-24,4
253,int:a055470,BankEntryDate16,2016-02-25,5
254,int:a055470,BankEntryDate16,2016-02-26,1
255,int:a055470,BankEntryDate16,2016-02-29,7
256,int:a055470,BankEntryDate17,2016-02-05,1
257,int:a055470,BankEntryDate17,2016-02-08,12
258,int:a055470,BankEntryDate17,2016-02-09,13
259,int:a055470,BankEntryDate17,2016-02-10,9
260,int:a055470,BankEntryDate17,2016-02-11,6
261,int:a055470,BankEntryDate17,2016-02-15,5
262,int:a055470,BankEntryDate17,2016-02-16,7
263,int:a055470,BankEntryDate17,2016-02-17,4
264,int:a055470,BankEntryDate17,2016-02-18,7
265,int:a055470,BankEntryDate17,2016-02-19,9
266,int:a055470,BankEntryDate17,2016-02-22,5
267,int:a055470,BankEntryDate17,2016-02-23,5
268,int:a055470,BankEntryDate17,2016-02-24,4
269,int:a055470,BankEntryDate17,2016-02-25,5
270,int:a055470,BankEntryDate17,2016-02-26,1
271,int:a055470,BankEntryDate17,2016-02-29,7
272,int:a055470,BankEntryDate18,2016-02-05,1
273,int:a055470,BankEntryDate18,2016-02-08,12
274,int:a055470,BankEntryDate18,2016-02-09,13
275,int:a055470,BankEntryDate18,2016-02-10,9
276,int:a055470,BankEntryDate18,2016-02-11,6
277,int:a055470,BankEntryDate18,2016-02-15,5
278,int:a055470,BankEntryDate18,2016-02-16,7
279,int:a055470,BankEntryDate18,2016-02-17,4
280,int:a055470,BankEntryDate18,2016-02-18,7
281,int:a055470,BankEntryDate18,2016-02-19,9
282,int:a055470,BankEntryDate18,2016-02-22,5
283,int:a055470,BankEntryDate18,2016-02-23,5
284,int:a055470,BankEntryDate18,2016-02-24,4
285,int:a055470,BankEntryDate18,2016-02-25,5
286,int:a055470,BankEntryDate18,2016-02-26,1
287,int:a055470,BankEntryDate18,2016-02-29,7
288,int:a055470,BankEntryDate19,2016-02-05,1
289,int:a055470,BankEntryDate19,2016-02-08,12
290,int:a055470,BankEntryDate19,2016-02-09,13
291,int:a055470,BankEntryDate19,2016-02-10,9
292,int:a055470,BankEntryDate19,2016-02-11,6
293,int:a055470,BankEntryDate19,2016-02-15,5
294,int:a055470,BankEntryDate19,2016-02-16,7
295,int:a055470,BankEntryDate19,2016-02-17,4
296,int:a055470,BankEntryDate19,2016-02-18,7
297,int:a055470,BankEntryDate19,2016-02-19,9
298,int:a055470,BankEntryDate19,2016-02-22,5
299,int:a055470,BankEntryDate19,2016-02-23,5
300,int:a055470,BankEntryDate19,2016-02-24,4
301,int:a055470,BankEntryDate19,2016-02-25,5
302,int:a055470,BankEntryDate19,2016-02-26,1
303,int:a055470,BankEntryDate19,2016-02-29,7
304,int:a055470,BankEntryDate20,2016-02-05,1
305,int:a055470,BankEntryDate20,2016-02-08,12
306,int:a055470,BankEntryDate20,2016-02-09,13
307,int:a055470,BankEntryDate20,2016-02-10,9
308,int:a055470,BankEntryDate20,2016-02-11,6
309,int:a055470,BankEntryDate20,2016-02-15,5
310,int:a055470,BankEntryDate20,2016-02-16,7
311,int:a055470,BankEntryDate20,2016-02-17,4
312,int:a055470,BankEntryDate20,2016-02-18,7
313,int:a055470,BankEntryDate20,2016-02-19,9
314,int:a055470,BankEntryDate20,2016-02-22,5
315,int:a055470,BankEntryDate20,2016-02-23,5
316,int:a055470,BankEntryDate20,2016-02-24,4
317,int:a055470,BankEntryDate20,2016-02-25,5
318,int:a055470,BankEntryDate20,2016-02-26,1
319,int:a055470,BankEntryDate20,2016-02-29,7
320,int:a055470,BankEntryDate21,2016-02-05,1
321,int:a055470,BankEntryDate21,2016-02-08,12
322,int:a055470,BankEntryDate21,2016-02-09,13
323,int:a055470,BankEntryDate21,2016-02-10,9
324,int:a055470,BankEntryDate21,2016-02-11,6
325,int:a055470,BankEntryDate21,2016-02-15,5
326,int:a055470,BankEntryDate21,2016-02-16,7
327,int:a055470,BankEntryDate21,2016-02-17,4
328,int:a055470,BankEntryDate21,2016-02-18,7
329,int:a055470,BankEntryDate21,2016-02-19,9
330,int:a055470,BankEntryDate21,2016-02-22,5
331,int:a055470,BankEntryDate21,2016-02-23,5
332,int:a055470,BankEntryDate21,2016-02-24,4
333,int:a055470,BankEntryDate21,2016-02-25,5
334,int:a055470,BankEntryDate21,2016-02-26,1
335,int:a055470,BankEntryDate21,2016-02-29,7
336,int:a055470,BankEntryDate22,2016-02-05,1
337,int:a055470,BankEntryDate22,2016-02-08,12
338,int:a055470,BankEntryDate22,2016-02-09,13
339,int:a055470,BankEntryDate22,2016-02-10,9
340,int:a055470,BankEntryDate22,2016-02-11,6
341,int:a055470,BankEntryDate22,2016-02-15,5
342,int:a055470,BankEntryDate22,2016-02-16,7
343,int:a055470,BankEntryDate22,2016-02-17,4
344,int:a055470,BankEntryDate22,2016-02-18,7
345,int:a055470,BankEntryDate22,2016-02-19,9
346,int:a055470,BankEntryDate22,2016-02-22,5
347,int:a055470,BankEntryDate22,2016-02-23,5
348,int:a055470,BankEntryDate22,2016-02-24,4
349,int:a055470,BankEntryDate22,2016-02-25,5
350,int:a055470,BankEntryDate22,2016-02-26,1
351,int:a055470,BankEntryDate22,2016-02-29,7
352,int:a055470,BankEntryDate23,2016-02-05,1
353,int:a055470,BankEntryDate23,2016-02-08,12
354,int:a055470,BankEntryDate23,2016-02-09,13
355,int:a055470,BankEntryDate23,2016-02-10,9
356,int:a055470,BankEntryDate23,2016-02-11,6
357,int:a055470,BankEntryDate23,2016-02-15,5
358,int:a055470,BankEntryDate23,2016-02-16,7
359,int:a055470,BankEntryDate23,2016-02-17,4
360,int:a055470,BankEntryDate23,2016-02-18,7
361,int:a055470,BankEntryDate23,2016-02-19,9
362,int:a055470,BankEntryDate23,2016-02-22,5
363,int:a055470,BankEntryDate23,2016-02-23,5
364,int:a055470,BankEntryDate23,2016-02-24,4
365,int:a055470,BankEntryDate23,2016-02-25,5
366,int:a055470,BankEntryDate23,2016-02-26,1
367,int:a055470,BankEntryDate23,2016-02-29,7
368,int:a055470,BankEntryDate24,2016-02-05,1
369,int:a055470,BankEntryDate24,2016-02-08,12
370,int:a055470,BankEntryDate24,2016-02-09,13
371,int:a055470,BankEntryDate24,2016-02-10,9
372,int:a055470,BankEntryDate24,2016-02-11,6
373,int:a055470,BankEntryDate24,2016-02-15,5
374,int:a055470,BankEntryDate24,2016-02-16,7
375,int:a055470,BankEntryDate24,2016-02-17,4
376,int:a055470,BankEntryDate24,2016-02-18,7
377,int:a055470,BankEntryDate24,2016-02-19,9
378,int:a055470,BankEntryDate24,2016-02-22,5
379,int:a055470,BankEntryDate24,2016-02-23,5
380,int:a055470,BankEntryDate24,2016-02-24,4
381,int:a055470,BankEntryDate24,2016-02-25,5
382,int:a055470,BankEntryDate24,2016-02-26,1
383,int:a055470,BankEntryDate24,2016-02-29,7
